method,terms,abs_error
leibniz,10,0.099753034660391027327
leibniz,100,0.0099997500312404741552
leibniz,1000,0.00099999975000031249905
leibniz,10000,0.000099999999750000003125
leibniz,100000,9.99999999975e-6
machin,1,0.041670944736566594173
machin,2,0.00099562426373292415811
machin,3,0.000028375735241186584189
machin,4,8.8140761594344443109e-7
machin,5,2.8814606278777616453e-8
machin,6,9.7448463031329263561e-10
machin,7,3.3761523532861210541e-11
machin,8,1.1910098004721227925e-12
machin,9,4.2609023057288972182e-14
machin,10,1.5415453637636593974e-15
machin,11,5.6284731474435840659e-17
machin,12,2.0708024386076376017e-18
machin,13,7.6681209392362398312e-20
machin,14,2.8552220150450090954e-21
machin,15,1.0682439598947366323e-22
machin,16,4.0134697137521432257e-24
machin,17,1.5134705812664465306e-25
machin,18,5.7260315556410612242e-27
machin,19,2.1727454044542526226e-28
machin,20,8.2663062778567890251e-30
machin,21,3.1524789015101585296e-31
machin,22,1.204859439625856565e-32
machin,23,4.6140456865947879488e-34
machin,24,1.7701774677808013633e-35
machin,25,6.8026461758176595901e-37
machin,26,2.618238279007655079e-38
machin,27,1.0091621298962552482e-39
machin,28,3.8948328837242002741e-41
machin,29,1.5050572893140315044e-42
machin,30,5.822610676304914097e-44
machin,31,2.2550213474739791523e-45
machin,32,8.7422344425646358603e-47
machin,33,3.3923956295392198214e-48
machin,34,1.317584621544225756e-49
machin,35,5.1217257547071446617e-51
machin,36,1.992505639180672989e-52
machin,37,7.7572819590242642908e-54
machin,38,3.0222353732620138452e-55
machin,39,1.1783279428630071822e-56
machin,40,4.589473767422592009e-58
